(category, name, unit, unit_price_ht, unit_price_ttc, initial_stock_quantity, current_stock_quantity, supplier_id),
('FINITIONS','VALIDRO MAT','15.000 KG',246.376,293.188, 150, 150, 2),
('FINITIONS','VALIDRO SATINE','0.800 KG',15.998,19.037, 150, 150, 2),
('FINITIONS','VALIDRO SATINE','4.000 KG',74.161,88.251, 150, 150, 2),
('FINITIONS','VALIDRO SATINE','15.000 KG',276.789,329.379, 150, 150, 2),
('FINITIONS','TRASPIRANTE 209','0.800 KG',6.385,7.598, 150, 150, 2),
('FINITIONS','TRASPIRANTE 209','4.000 KG',21.144,25.161, 150, 150, 2),
('FINITIONS','TRASPIRANTE 209','15.000 KG',73.312,87.241, 150, 150, 2),
('FINITIONS','TRASPIRANTE 409','0.800 KG',8.423,10.023, 150, 150, 2),
('FINITIONS','TRASPIRANTE 409','4.000 KG',31.711,37.736, 150, 150, 2),
('FINITIONS','TRASPIRANTE 409','15.000 KG',110.608,131.623, 150, 150, 2),
('FINITIONS','V 55 BASE FONCEE','0.800 KG',11.127,13.241, 150, 150, 2),
('FINITIONS','V 55 BASE FONCEE','4.000 KG',43.577,51.857, 150, 150, 2),
('FINITIONS','V 55 BASE FONCEE','15.000 KG',155.983,185.620, 150, 150, 2),
('FINITIONS','V 55 BASE CLAIRE','0.800 KG',14.440,17.184, 150, 150, 2),
('FINITIONS','V 55 BASE CLAIRE','4.000 KG',61.223,72.856, 150, 150, 2),
('FINITIONS','V 55 BASE CLAIRE','15.000 KG',222.452,264.718, 150, 150, 2),
('FINITIONS','V 55 BASE BLANCHE','0.800 KG',12.253,14.581, 150, 150, 2),
('FINITIONS','V 55 BASE BLANCHE','4.000 KG',50.593,60.206, 150, 150, 2),
('FINITIONS','V 55 BASE BLANCHE','15.000 KG',179.104,213.134, 150, 150, 2),
('FINITIONS','V 88 BASE FONCEE','0.800 KG',12.912,15.365, 150, 150, 2),
('FINITIONS','V 88 BASE FONCEE','4.000 KG',51.299,61.046, 150, 150, 2),
('FINITIONS','V 88 BASE FONCEE','15.000 KG',188.029,223.754, 150, 150, 2),
('FINITIONS','V 88 BASE CLAIRE','0.800 KG',15.442,18.376, 150, 150, 2),
('FINITIONS','V 88 BASE CLAIRE','4.000 KG',65.459,77.897, 150, 150, 2),
('FINITIONS','V 88 BASE CLAIRE','15.000 KG',237.647,282.800, 150, 150, 2),
('FINITIONS','V 88 BASE BLANCHE','0.800 KG',15.695,18.677, 150, 150, 2),
('FINITIONS','V 88 BASE BLANCHE','4.000 KG',65.762,78.257, 150, 150, 2),
('FINITIONS','V 88 BASE BLANCHE','15.000 KG',241.955,287.926, 150, 150, 2),
('ENDUITS','RASAPRIM','5.000 KG',12.584,14.975, 150, 150, 2),
('ENDUITS','RASAPRIM','25.000 KG',56.701,67.474, 150, 150, 2),
('ENDUITS','RASAPRIM','40.000 KG',86.750,103.233, 150, 150, 2),
('ENDUITS','RASABEN','5.000 KG',11.711,13.936, 150, 150, 2),
('ENDUITS','RASABEN','25.000 KG',51.061,60.762, 150, 150, 2),
('ENDUITS','RASABEN','40.000 KG',76.885,91.493, 150, 150, 2),
('ENDUITS','RASAFIN','5.000 KG',11.850,14.102, 150, 150, 2),
('ENDUITS','RASAFIN','25.000 KG',51.739,61.569, 150, 150, 2),
('ENDUITS','RASAFIN','40.000 KG',77.957,92.769, 150, 150, 2),
('ENDUITS','VALENDUIT','1.000 KG',3.734,4.443, 150, 150, 2),
('ENDUITS','VALENDUIT','5.000 KG',12.908,15.361, 150, 150, 2),
('ENDUITS','VALENDUIT','20.000 KG',48.540,57.762, 150, 150, 2),
('ENDUITS','VALENDUIT','40.000 KG',88.821,105.697, 150, 150, 2),
('ENDUITS','ENDUIT PLATRE INT ROUGE','25.000 KG',35.291,41.996, 150, 150, 2),
('ENDUITS','ENDUIT PLATRE INT BLEU','25.000 KG',35.291,41.996, 150, 150, 2),
('ENDUITS','ENDUIT CHAUX EXT / INT GROS','20.000 KG',40.973,48.758, 150, 150, 2),
('ENDUITS','ENDUIT CHAUX EXT / INT FIN','17.000 KG',35.754,42.547, 150, 150, 2),
('ENDUITS','ENDUIT CHAUX EXT / INT FIN','20.000 KG',40.973,48.758, 150, 150, 2),
('COLORANTS','VALTINT BLEU','0.125 LT',2.534,3.016, 150, 150, 2),
('COLORANTS','VALTINT VERT','0.125 LT',2.797,3.328, 150, 150, 2),
('COLORANTS','VALTINT JAUNE','0.125 LT',2.797,3.328, 150, 150, 2),
('COLORANTS','VALTINT ROUGE','0.125 LT',2.797,3.328, 150, 150, 2),
('COLORANTS','VALTINT NOIR','0.125 LT',2.534,3.016, 150, 150, 2),
('COLORANTS','VALTINT VIOLET','0.125 LT',2.797,3.328, 150, 150, 2),
('COLORANTS','VALTINT MAGENTA','0.125 LT',2.797,3.328, 150, 150, 2),
('COLORANTS','VALTINT ORANGE','0.125 LT',2.797,3.328, 150, 150, 2),
('COLORANTS','VALTINT CREME','0.125 LT',2.534,3.016, 150, 150, 2),
('COLORANTS','VALTINT MARRON','0.125 LT',2.534,3.016, 150, 150, 2),
('ETANCHIETE','VALETANCHE','4.000 KG',30.249,35.996, 150, 150, 2),
('ETANCHIETE','VALETANCHE','18.000 KG',128.749,153.211, 150, 150, 2),
('ETANCHIETE','ENDUIT CHAUX ETANCHE','20.000 KG',44.100,52.479, 150, 150, 2),
('BOIS ET FER','FERROGRAF ARGENTO 229','0.800 LT',86.453,102.879, 150, 150, 2),
('BOIS ET FER','FERROGRAF ARGENTO 229','4.000 LT',426.439,507.462, 150, 150, 2),
('BOIS ET FER','PROTERLEGNO 289 ( VERNIS A L EAU INT + EXT )','0.800 LT',30.934,36.811, 150, 150, 2),
('BOIS ET FER','PROTERLEGNO 289 ( VERNIS A L EAU INT + EXT )','4.000 LT',148.841,177.121, 150, 150, 2),
('BOIS ET FER','PROTERLEGNO 289 COL 541 EXT','0.800 LT',93.120,110.813, 150, 150, 2),
('BOIS ET FER','PROTERLEGNO 289 COL 541 EXT','4.000 LT',459.560,546.877, 150, 150, 2),
('BOIS ET FER','PROTERLEGNO 289 COL540 EXT','0.800 LT',90.737,107.977, 150, 150, 2),
('BOIS ET FER','PROTERLEGNO 289 COL540 EXT','4.000 LT',450.411,535.989, 150, 150, 2),
('BOIS ET FER','IDROQUET 319','0.800 LT',93.077,110.761, 150, 150, 2),
('BOIS ET FER','IDROQUET 319','4.000 LT',453.808,540.032, 150, 150, 2),
('PEINTURE DE FINITION','IDROLAK 309 ( VERNIS A L EAU INT + EXT )','0.800 LT',51.316,61.066, 150, 150, 2),
('PEINTURE DE FINITION','IDROLAK 309 ( VERNIS A L EAU INT + EXT )','4.000 LT',250.753,298.396, 150, 150, 2),
('PEINTURE DE FINITION','IDROMAT 99','0.050 LT',14.080,16.755, 150, 150, 2),
('PEINTURE DE FINITION','IDROMAT 99','0.250 LT',51.499,61.284, 150, 150, 2),
('REVETEMENTS EXTERIEURS','ENDUIT CHAUX FACADE','20.000 KG',44.100,52.479, 150, 150, 2),
('REVETEMENTS EXTERIEURS','CHAUX RACH 25 KG','25.000 KG',26.167,31.139, 150, 150, 2),
('REVETEMENTS EXTERIEURS','CHAUX ANTIK 25 KG','25.000 KG',15.387,18.310, 150, 150, 2),
('MORTIERS ET COLLES','CIMENT COLLE V 1000 25 KG','25.000 KG',11.758,13.992, 150, 150, 2),
('MORTIERS ET COLLES','CIMENT COLLE V 2000 25 KG','25.000 KG',15.430,18.362, 150, 150, 2),
('MORTIERS ET COLLES','CIMENT COLLE V 3000 25 KG','25.000 KG',20.038,23.846, 150, 150, 2),
('PRODUITS SPECIAUX','ISOLPAINT','0.800 LT',30.467,36.255, 150, 150, 2),
('PRODUITS SPECIAUX','ISOLPAINT','4.000 LT',104.130,123.915, 150, 150, 2),
('PRODUITS SPECIAUX','ISOLPAINT','10.000 LT',243.113,289.304, 150, 150, 2),
